Tech node (nm), Capacity (bytes), Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), FO4 delay (ps), Width (um), Height (um), 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
130, 768, 1, 96, 0.57531, 0.413255, N/A, 0.0266636, 0.0229047, 0.0944985, 0.0588737, 44.4165, 209.852, 280.548, 
